[2023-12-14T18:56:40.631+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:41.633+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:42.635+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:43.636+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:44.638+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:45.640+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:46.642+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:47.644+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:48.645+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:49.648+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:50.650+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:51.651+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:52.654+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:53.656+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:54.657+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:55.659+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:56.661+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:57.663+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:58.664+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:56:59.666+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:00.667+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:01.668+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:02.670+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:03.671+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:04.673+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:05.675+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:06.676+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:07.677+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:08.679+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:09.681+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:10.683+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:11.684+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:12.686+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:13.688+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:14.689+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:15.691+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:16.694+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:17.696+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:18.697+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:19.699+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:20.701+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:21.702+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:22.704+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:23.706+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:24.709+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:25.711+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:26.715+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:27.717+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:28.718+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:29.720+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:30.721+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:31.723+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:32.725+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:33.726+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:34.728+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:35.730+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:36.731+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:37.733+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:38.734+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:39.736+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:40.738+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:41.739+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:42.741+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:43.743+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
[2023-12-14T18:57:44.744+0000] {foobar_trigger.py:32} INFO - logging no file found, sleeping again
